"year","hname","aname","hgoals","agoals","hPossesion","aPossesion","hshotsOnTarget","ashotsOnTarget","hshots","ashots","hyellowCards","ayellowCards","hredCards","aredCards","hfouls","afouls","hsaves","asaves"
"2009","France","Lithuania","1","0","53","47","7","1","10","2","1","3","0","0","10","15","2","8"
"2009","Scotland","Iceland","2","1","56","44","5","0","13","4","0","1","0","0","8","15","1","6"
"2009","Azerbaijan","Wales","0","1","52","48","10","4","12","7","0","1","0","0","9","7","2","11"
"2009","Kazakhstan","England","0","4","42","58","0","10","4","16","2","1","0","0","7","9","9","0"
"2009","Bulgaria","Republic of Ireland","1","1","52","48","4","3","10","6","2","1","0","0","12","13","3","2"
"2009","Iceland","Netherlands","1","2","50","50","0","5","2","12","3","1","0","0","16","9","6","0"
"2009","Netherlands","Norway","2","0","62","38","5","1","11","2","0","2","0","0","6","12","3","7"
"2009","England","Andorra","6","0","84","16","7","1","21","2","0","2","0","0","5","9","0","9"
"2009","Azerbaijan","Germany","0","2","50","50","5","6","10","16","3","0","0","0","14","5","4","3"
"2009","Faroe Islands","France","0","1","24","76","3","8","3","21","3","0","0","0","12","14","5","2"
"2009","Norway","Scotland","4","0","63","37","7","2","14","4","3","2","0","1","9","16","1","6"
"2009","Scotland","North Macedonia","2","0","49","51","1","4","13","10","2","2","0","0","12","10","6","2"
"2009","Georgia","Italy","0","2","40","60","2","6","3","13","2","1","0","0","20","5","3","3"
"2009","Cyprus","Republic of Ireland","1","2","40","60","2","1","6","6","2","1","0","0","14","24","2","2"
"2009","Poland","Northern Ireland","1","1","57","43","7","2","13","4","1","0","0","0","7","7","4","8"
"2009","France","Romania","1","1","53","47","6","1","11","2","0","1","0","0","9","5","1","6"
"2009","Spain","Belgium","5","0","67","33","3","4","11","5","2","2","0","0","13","12","6","5"
"2009","Scotland","Netherlands","0","1","42","58","5","6","10","12","3","3","0","0","12","12","7","5"
"2009","Germany","Azerbaijan","4","0","69","31","14","5","19","5","0","2","0","1","11","8","4","12"
"2009","Northern Ireland","Slovakia","0","2","50","50","3","1","10","3","2","1","0","0","13","15","1","5"
"2009","Wales","Russia","1","3","54","46","5","8","12","14","1","1","0","0","8","7","5","7"
"2009","Italy","Bulgaria","2","0","50","50","2","3","10","14","1","1","0","0","19","22","5","6"
"2009","England","Croatia","5","1","53","47","4","5","6","9","1","1","0","0","14","8","5","5"
"2009","Serbia","France","1","1","51","49","7","3","14","9","3","4","1","1","12","10","3","5"
"2009","Spain","Estonia","3","0","60","40","5","0","13","3","0","2","0","0","1","5","0","4"
"2009","Finland","Wales","2","1","61","39","4","1","8","2","2","2","0","0","13","4","2","5"
"2009","Russia","Germany","0","1","54","46","7","4","16","14","2","1","0","1","17","16","4","7"
"2009","Armenia","Spain","1","2","50","50","5","12","10","15","2","1","0","0","15","11","8","2"
"2009","Ukraine","England","1","0","54","46","2","2","7","7","4","0","0","1","10","10","5","2"
"2009","France","Faroe Islands","5","0","64","36","14","1","25","4","1","0","0","0","11","7","1","10"
"2009","Republic of Ireland","Italy","2","2","47","53","4","4","7","8","2","1","0","0","20","13","5","4"
"2009","Germany","Finland","1","1","60","40","7","4","15","5","0","1","0","0","4","10","3","6"
"2009","Bosnia and Herzegovina","Spain","2","5","33","67","8","6","16","11","0","1","0","0","16","6","4","7"
"2009","Italy","Cyprus","3","2","57","43","8","3","13","8","1","2","0","0","10","17","3","10"
"2009","Liechtenstein","Wales","0","2","45","55","2","3","5","7","3","1","0","0","12","11","6","2"
"2009","Republic of Ireland","Montenegro","0","0","53","47","3","3","9","9","1","2","0","0","5","13","4","2"
"2009","Czech Republic","Northern Ireland","0","0","58","42","3","2","9","5","1","1","0","0","14","15","3","6"
"2009","England","Belarus","3","0","53","47","6","5","13","7","0","1","0","0","16","16","4","8"
"2009","France","Austria","3","1","60","40","3","2","5","5","0","2","0","0","3","8","2","2"
"2009","Republic of Ireland","France","0","1","48","52","5","7","11","13","0","0","0","0","8","5","4","5"
"2009","France","Republic of Ireland","1","1","53","47","8","2","16","5","3","3","0","0","17","17","5","7"
"2012","Russia","Northern Ireland","2","0","68","32","5","3","10","4","1","3","0","0","4","10","2","5"
"2012","Azerbaijan","Israel","1","1","72","28","5","1","10","6","1","2","0","0","10","10","1","7"
"2012","Kazakhstan","Republic of Ireland","1","2","48","52","2","6","6","11","1","0","0","0","14","16","3","1"
"2012","Georgia","Belarus","1","0","63","37","3","6","8","10","2","1","0","0","9","14","10","3"
"2012","Liechtenstein","Bosnia and Herzegovina","1","8","50","50","3","5","5","9","2","0","0","0","8","12","6","4"
"2012","Estonia","Romania","0","2","38","62","0","2","1","7","2","1","0","0","7","6","2","0"
"2012","Malta","Armenia","0","1","50","50","4","8","8","15","2","2","0","0","14","18","8","6"
"2012","Croatia","North Macedonia","1","0","52","48","1","3","4","6","4","2","0","0","10","12","2","5"
"2012","Lithuania","Slovakia","1","1","53","47","3","3","7","6","2","2","1","1","6","12","5","2"
"2012","Albania","Cyprus","3","1","50","50","3","0","10","1","4","2","0","0","11","11","2","3"
"2012","Andorra","Hungary","0","5","50","50","1","2","4","7","5","1","1","0","12","6","2","1"
"2012","Finland","France","0","1","38","62","2","6","7","11","3","3","0","0","18","8","5","2"
"2012","Latvia","Greece","1","2","53","47","1","5","1","12","3","2","0","0","11","7","4","0"
"2012","Montenegro","Poland","2","2","50","50","1","2","6","10","2","1","1","1","7","14","2","4"
"2012","Netherlands","Turkey","2","0","52","48","3","4","7","11","1","3","0","0","9","9","5","4"
"2012","Slovenia","Switzerland","0","2","42","58","2","2","15","8","2","2","0","1","19","15","3","5"
"2012","Bulgaria","Italy","2","2","65","35","7","2","15","5","2","2","0","0","26","7","2","7"
"2012","Germany","Faroe Islands","3","0","70","30","9","2","19","2","1","1","0","0","5","10","3","13"
"2012","Iceland","Norway","2","0","62","38","3","3","5","6","1","1","0","0","15","18","4","5"
"2012","Luxembourg","Portugal","1","2","50","50","1","7","6","16","0","2","0","0","6","7","9","2"
"2012","Moldova","England","0","5","42","58","2","9","9","18","1","1","0","0","13","6","4","2"
"2012","Wales","Belgium","0","2","43","57","3","9","5","20","2","2","1","0","7","11","4","2"
"2012","Scotland","Serbia","0","0","51","49","5","4","9","9","1","3","0","0","12","20","3","7"
"2012","Denmark","Czech Republic","0","0","50","50","6","1","15","3","3","0","0","0","11","9","2","6"
"2012","Cyprus","Iceland","1","0","50","50","7","3","14","5","3","2","0","1","7","18","2","6"
"2012","Israel","Russia","0","4","53","47","1","1","10","7","2","2","0","0","7","11","1","2"
"2012","Georgia","Spain","0","1","39","61","0","5","2","9","0","0","0","0","6","5","6","0"
"2012","Romania","Andorra","3","0","50","50","7","0","11","2","0","1","0","0","7","7","0","3"
"2012","Bosnia and Herzegovina","Latvia","4","1","59","41","5","4","15","5","0","2","0","0","9","16","6","6"
"2012","Bulgaria","Armenia","1","0","50","50","2","2","6","5","4","5","1","2","17","11","2","3"
"2012","Norway","Slovenia","2","1","54","46","5","1","8","4","2","3","0","0","22","14","2","5"
"2012","Turkey","Estonia","3","0","64","36","4","0","20","1","0","1","0","1","10","13","1","9"
"2012","Slovakia","Liechtenstein","2","0","52","48","6","1","16","4","3","4","0","0","8","9","1","8"
"2012","Hungary","Netherlands","1","4","38","62","3","4","4","8","3","2","0","0","11","7","3","3"
"2012","San Marino","Montenegro","0","6","37","63","1","7","3","14","4","1","0","0","10","16","10","1"
"2012","Serbia","Wales","6","1","67","33","13","1","16","4","0","2","0","0","8","11","0","5"
"2012","Sweden","Kazakhstan","2","0","59","41","5","1","15","3","2","1","0","0","6","10","1","5"
"2012","Switzerland","Albania","2","0","51","49","3","4","5","7","4","1","0","0","9","11","5","1"
"2012","Austria","Germany","1","2","33","67","5","5","14","7","3","1","0","0","13","13","3","6"
"2012","Belgium","Croatia","1","1","54","46","2","1","6","3","2","2","0","0","12","10","2","5"
"2012","Greece","Lithuania","2","0","58","42","5","1","13","3","1","5","0","0","9","16","1","5"
"2012","Italy","Malta","2","0","65","35","6","2","15","4","0","4","0","0","3","15","1","7"
"2012","Northern Ireland","Luxembourg","1","1","51","49","7","2","12","6","3","2","0","0","16","6","2","5"
"2012","Poland","Moldova","2","0","57","43","4","7","10","10","1","1","0","0","6","2","4","2"
"2012","England","Ukraine","1","1","50","50","7","3","14","7","5","3","1","0","16","9","2","3"
"2012","France","Belarus","3","1","60","40","4","3","9","6","1","1","0","0","9","15","3","5"
"2012","Scotland","North Macedonia","1","1","52","48","1","5","4","10","1","5","0","0","10","11","5","5"
"2012","Portugal","Azerbaijan","3","0","70","30","17","0","30","2","1","1","0","0","10","14","0","12"
"2012","Russia","Portugal","1","0","37","63","5","8","8","13","2","1","0","0","11","12","7","6"
"2012","Finland","Georgia","1","1","50","50","2","2","4","3","2","1","1","0","18","10","4","1"
"2012","Czech Republic","Malta","3","1","60","40","3","2","5","3","0","0","0","0","7","7","3","4"
"2012","Faroe Islands","Sweden","1","2","50","50","3","7","8","14","3","1","0","0","14","11","11","3"
"2012","Kazakhstan","Austria","0","0","42","58","2","6","3","13","3","1","0","0","10","13","7","5"
"2012","Albania","Iceland","1","2","53","47","1","1","8","3","4","3","0","0","18","16","1","1"
"2012","Armenia","Italy","1","3","50","50","5","2","9","8","5","2","0","0","20","6","2","5"
"2012","Liechtenstein","Lithuania","0","2","47","53","3","2","8","6","3","4","0","0","8","23","2","4"
"2012","Turkey","Romania","0","1","69","31","3","3","9","12","0","1","0","0","10","12","6","5"
"2012","Belarus","Spain","0","4","30","70","2","4","5","10","2","1","0","0","14","4","4","2"
"2012","Bulgaria","Denmark","1","1","50","50","2","1","2","8","0","2","1","0","14","13","1","2"
"2012","Moldova","Ukraine","0","0","41","59","2","3","4","10","1","2","0","0","11","12","4","2"
"2012","Slovakia","Latvia","2","1","49","51","10","1","12","4","2","4","0","0","13","8","2","8"
"2012","Estonia","Hungary","0","1","45","55","5","7","10","14","2","3","0","0","11","10","7","6"
"2012","Netherlands","Andorra","3","0","73","27","3","2","14","3","1","1","0","0","13","7","3","2"
"2012","North Macedonia","Croatia","1","2","50","50","2","1","5","8","2","3","0","0","18","14","2","3"
"2012","Serbia","Belgium","0","3","55","45","5","5","14","8","1","2","0","0","7","13","9","8"
"2012","Switzerland","Norway","1","1","54","46","10","4","18","12","2","4","0","0","9","8","3","9"
"2012","Greece","Bosnia and Herzegovina","0","0","55","45","2","3","5","5","2","2","0","0","3","5","3","3"
"2012","Republic of Ireland","Germany","1","6","30","70","3","6","5","9","2","2","0","0","9","9","2","1"
"2012","Slovenia","Cyprus","2","1","56","44","10","2","17","4","2","1","1","0","7","15","1","7"
"2012","Wales","Scotland","2","1","49","51","2","3","11","7","3","1","0","0","13","17","4","2"
"2012","England","San Marino","5","0","86","14","16","0","29","1","0","2","0","0","7","8","0","12"
"2012","Luxembourg","Israel","0","6","37","63","0","3","6","7","1","0","0","0","1","2","3","0"
"2012","Russia","Azerbaijan","1","0","56","44","5","0","15","2","1","4","0","0","6","13","1","7"
"2012","Belarus","Georgia","2","0","50","50","1","3","5","8","4","5","0","0","15","9","6","1"
"2012","Israel","Luxembourg","3","0","60","40","6","3","9","7","1","3","0","0","4","15","7","6"
"2012","Andorra","Estonia","0","1","33","67","1","4","3","13","2","1","0","0","19","12","5","2"
"2012","Latvia","Liechtenstein","2","0","50","50","7","2","11","11","2","3","0","1","17","15","4","6"
"2012","Bosnia and Herzegovina","Lithuania","3","0","62","38","3","3","6","8","1","3","0","0","10","11","5","4"
"2012","Croatia","Wales","2","0","76","24","18","3","27","6","2","1","0","0","9","8","6","15"
"2012","Cyprus","Norway","1","3","50","50","2","7","7","14","4","3","0","0","10","18","8","2"
"2012","Czech Republic","Bulgaria","0","0","50","50","3","1","7","6","1","4","0","0","11","14","2","5"
"2012","Faroe Islands","Republic of Ireland","1","4","64","36","7","2","12","11","1","0","0","0","12","9","3","6"
"2012","Romania","Netherlands","1","4","45","55","0","1","2","4","3","3","0","0","10","4","1","0"
